City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Jambi,ID,82.24,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
297,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
298,Huilong,CN,88.03,light rain,31.8111,121.655,Hilton Garden Inn Qidong
299,Varkkallai,IN,80.38,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
301,Buraydah,SA,86.45,scattered clouds,26.326,43.975,فندق راحة السلام
302,Constantine,DZ,78.21,few clouds,36.365,6.6147,Grand Hotel Cirta
303,Bukama,CD,67.14,clear sky,-9.2,25.85,
304,Kirakira,SB,84.04,few clouds,-10.4544,161.9205,SanBiz Lodge
305,Kommunar,RU,63.93,scattered clouds,59.6206,30.39,Guest House Izhora
307,Sukumo,JP,88.5,clear sky,32.9333,132.7333,Sukumojo
310,Karratha,AU,74.01,clear sky,-20.7377,116.8463,ibis Styles Karratha
311,Vorobyevka,RU,69.22,overcast clouds,50.6451,40.9245,
314,Phalaborwa,ZA,61.88,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
316,Fortuna,US,60.33,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
317,Tahoua,NE,82.04,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
318,Asfi,MA,69.17,scattered clouds,32.2994,-9.2372,Hôtel Abda
319,Issoudun,FR,60.49,overcast clouds,47.0,1.8333,
320,Xining,CN,69.4,clear sky,36.6167,101.7667,Super Leisure Hotel
321,Lyubar,UA,61.79,clear sky,49.9204,27.7592,Hotel Agro-technological Kompaniyiyi
322,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
323,Siocon,PH,86.11,overcast clouds,7.7061,122.1353,ABS Hotel
324,Buchanan,LR,75.92,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
325,Tezu,IN,76.3,light rain,27.9167,96.1667,Circuit House
328,Goundam,ML,88.92,broken clouds,16.4145,-3.6708,
329,Kokopo,PG,85.82,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
330,Mitsamiouli,KM,75.47,light rain,-11.3847,43.2844,Foyer ADM
332,Rafai,CF,66.94,scattered clouds,4.95,23.9167,
333,Vangaindrano,MG,65.46,broken clouds,-23.35,47.6,Hotel Fanilo
334,Isangel,VU,75.92,scattered clouds,-19.55,169.2667,Tanna Lodge
335,Sitka,US,69.69,few clouds,57.0531,-135.33,Westmark Sitka
336,Ugoofaaru,MV,82.35,scattered clouds,5.6667,73.0,Ungoofaaru Inn
337,Santarem,BR,75.33,clear sky,-2.4431,-54.7083,Ecotur Lodge
338,Pasni,PK,81.61,overcast clouds,25.2631,63.471,Kashmiri Hotal
339,Pimenteiras,BR,81.97,overcast clouds,-6.2453,-41.4192,Hotel Central
342,Seinajoki,FI,60.55,broken clouds,62.7945,22.8282,"Original Sokos Hotel Vaakuna, Seinäjoki"
345,Farkhor,TJ,83.28,clear sky,37.4922,69.4036,Khonai Abdulkhayrov
346,Otane,NZ,62.38,clear sky,-39.8833,176.6333,Ludlow Farmstay
347,Griffith,US,75.15,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
348,Wasilla,US,62.29,overcast clouds,61.5814,-149.4394,Alaska's Select Inn Wasilla
349,Aksehir,TR,63.43,clear sky,38.3575,31.4164,GRAND HOTEL AKŞEHİR
350,Dali,CN,66.52,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
351,Sechura,PE,68.27,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
353,Pangkalanbuun,ID,85.69,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
354,Yumen,CN,85.21,clear sky,40.2833,97.2,
355,Talbahat,IN,76.24,overcast clouds,25.05,78.4333,PWD Guest House
356,Flinders,AU,64.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
357,Sapele,NG,73.36,broken clouds,5.8941,5.6767,Movig Hotel & Suites
359,Wuwei,CN,86.97,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
360,Bentiu,SS,70.99,light rain,9.2333,29.8333,Mandela hôtel
361,Nabire,ID,84.38,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
362,Azpeitia,ES,69.71,overcast clouds,43.1825,-2.2669,Arrupe
363,Palafrugell,ES,73.35,clear sky,41.9174,3.1631,Hotel La Torre
366,Hirara,JP,89.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
369,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
370,Broome,US,70.18,broken clouds,42.2506,-75.833,Chenango Valley State Park
371,Saint-Joseph,RE,66.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
372,Labuhan,ID,83.7,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
373,Khandyga,RU,69.96,scattered clouds,62.6667,135.6,Apel'sin
374,Inhambane,MZ,64.06,clear sky,-23.865,35.3833,Oceano
378,Acajutla,SV,79.52,overcast clouds,13.5928,-89.8275,asi es
379,Wellington,NZ,61.83,few clouds,-41.2866,174.7756,CityLife Wellington
380,Katete,UG,61.0,scattered clouds,-0.7818,29.7544,
381,Anloga,GH,77.22,few clouds,5.7947,0.8973,Pin Drop Hotel
382,Angoche,MZ,69.87,clear sky,-16.2325,39.9086,Guest House HESADA
383,Balkanabat,TM,79.5,clear sky,39.5108,54.3671,Nebitchi Hotel
385,Luanda,AO,71.6,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
386,Deyang,CN,88.9,overcast clouds,31.1302,104.382,Milletholly Resort Hotel
387,Smirnykh,RU,81.64,moderate rain,49.75,142.8333,Tsentral'naya
388,Kokoda,PG,87.8,broken clouds,-8.8785,147.7407,Daito Guest House
389,Saint-Francois,FR,63.18,clear sky,46.4154,3.9054,Manoir Du Bonheur
390,Camacha,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
392,Pelham,US,83.52,clear sky,33.2857,-86.81,Birmingham South RV Park
394,Villena,ES,70.92,clear sky,38.6373,-0.8657,Hotel Restaurante Salvadora
395,Krasnoye-Na-Volge,RU,63.9,overcast clouds,57.5125,41.2419,Almaz Hotel
396,Kulhudhuffushi,MV,82.35,broken clouds,6.6221,73.07,Hondaafushi Island Resort
397,Kochi,IN,76.98,overcast clouds,9.9399,76.2602,Hotel Abad
398,Qixingtai,CN,86.4,light rain,30.4135,111.8874,Sunny Hotel
400,Tocopilla,CL,63.27,scattered clouds,-22.092,-70.1979,Hotel Galvarino
401,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
402,Breves,BR,72.54,scattered clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
405,Palembang,ID,82.49,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
407,Semirom,IR,62.94,clear sky,31.4167,51.5667,Motel Dena
408,Wewak,PG,84.02,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
409,Touba,CI,66.25,scattered clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
410,Shenjiamen,CN,82.18,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
411,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
412,Balancan,MX,80.4,overcast clouds,17.8,-91.5333,Hotel Balam Ku
413,Muzaffarabad,PK,79.48,few clouds,34.37,73.4711,Pearl Continental Muzaffarabad
414,Panaba,MX,81.12,overcast clouds,21.2833,-88.2667,Posada rosario
415,Katobu,ID,84.85,scattered clouds,-4.9408,122.5276,La Ode Husein
416,Jurm,AF,73.0,clear sky,36.8648,70.8342,
419,Gopalur,IN,75.78,overcast clouds,16.6167,77.8,Dhaba- Motel
420,Teguise,ES,66.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
421,Amapa,BR,71.08,scattered clouds,1.0,-52.0,
422,Matamoros,MX,82.35,broken clouds,25.5333,-103.25,Quinta Belem
423,Marawi,PH,83.97,broken clouds,7.9986,124.2928,Derogongan Residence
424,Nioro,GM,76.33,overcast clouds,13.35,-15.75,
426,Laurel,US,79.45,scattered clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
428,Chirilagua,SV,75.31,overcast clouds,13.2203,-88.1386,Hogar De Espera Materno
429,Grimshaw,CA,80.22,few clouds,56.1834,-117.6027,Pomeroy Inn & Suites Grimshaw
430,Sanchor,IN,83.52,broken clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
432,Lata,PT,61.81,scattered clouds,40.1629,-8.3327,Casa Maquia
433,Taltal,CL,62.04,clear sky,-25.4,-70.4833,Residencial Karime
435,Multai,IN,70.88,overcast clouds,21.7667,78.25,HOTEL SAI KRIPA MULTAI
436,Dingle,PH,87.48,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
437,Pyay,MM,82.47,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
439,Parainen,FI,63.9,scattered clouds,60.3067,22.301,Hotell Kalkstrand
441,Saint-Leu,RE,67.06,scattered clouds,-21.15,55.2833,La Caz Oceane
442,Tautira,PF,78.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
445,Mahajanga,MG,71.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
446,Tambura,SS,66.88,overcast clouds,5.6,27.4667,Rikito Lodge
447,Siguiri,GN,71.22,moderate rain,11.6667,-9.5,
448,Jalapa,MX,62.69,broken clouds,19.5333,-96.9167,Hotel Mision Xalapa Plaza de las Convenciones
449,Muroto,JP,84.24,clear sky,33.2833,134.15,Oota Ryokan
451,Hobyo,SO,76.15,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
453,Tecolutla,MX,79.79,overcast clouds,20.4833,-97.0167,Hotel Plaza Marsol
455,Cayeli,TR,71.6,scattered clouds,41.0923,40.7292,Grand Cavusoglu Hotel
456,Contamana,PE,63.82,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
457,Nador,MA,77.07,few clouds,35.174,-2.9287,Hôtel La Giralda
458,Dandong,CN,85.24,clear sky,40.1292,124.3947,Yiranju Farmstay
459,Dobroye,RU,62.71,clear sky,52.8678,39.8109,Zarech'ye
460,Mayo,US,80.22,mist,38.8876,-76.5119,Resorts Resource Group International
461,Ushtobe,KZ,66.6,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
462,Kouroussa,GN,70.79,overcast clouds,10.65,-9.8833,Hotel Paillote
464,Jvari,GE,62.85,clear sky,42.7169,42.052,Savanna House
466,Jarvenpaa,FI,62.76,few clouds,60.4737,25.0899,Härmän Rati Oy
467,Barcelos,PT,62.28,clear sky,41.5388,-8.6151,Hotel Do Terço
469,Zatoka,UA,68.54,clear sky,46.0725,30.4654,"База отдыха ""Солнечная"""
470,Wanlaweyn,SO,72.01,overcast clouds,2.6185,44.8938,GAASHAAN HOME
471,Grand-Santi,GF,72.82,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
473,Xuddur,SO,67.8,overcast clouds,4.1213,43.8894,Banjanay Hotel
474,Yaan,NG,71.17,overcast clouds,7.3833,8.5667,
475,Aleksandrovka,UA,74.14,broken clouds,46.8383,32.7612,
477,Tura,IN,75.06,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
478,Svetlyy,RU,60.85,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
479,Soyo,AO,71.58,few clouds,-6.1349,12.3689,Hotel Mpampa
481,Plock,PL,66.16,overcast clouds,52.5468,19.7064,Herman
483,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
484,Pandan,PH,88.25,overcast clouds,14.0453,124.1694,Bonifacio Lodge
485,Kawalu,ID,77.47,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
486,Monrovia,LR,76.5,few clouds,6.3005,-10.7969,Sunset Inn
487,Gladstone,AU,74.79,clear sky,-23.85,151.25,Highpoint International
488,Havelock,US,82.38,clear sky,34.8791,-76.9013,Sherwood Motel
489,Teya,RU,61.74,broken clouds,60.3778,92.6267,
490,Semenyih,MY,84.18,overcast clouds,2.9516,101.843,Diamond City Bungalow 13 pax by BeeStay near Broga
491,Mitu,CO,70.34,broken clouds,1.1983,-70.1733,
493,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
494,Kieta,PG,85.17,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
495,Zhoucheng,CN,78.89,scattered clouds,35.9122,116.3117,Yingbin Restaurant
496,Lasa,IT,61.68,clear sky,46.6166,10.7002,Pension Feldgärtenhof
497,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
498,Erenhot,CN,80.71,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
500,Champerico,GT,80.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
502,Riohacha,CO,79.14,overcast clouds,11.5444,-72.9072,Hotel Taroa
507,Dubasari,MD,65.28,clear sky,47.2631,29.1608,Днестровский Сад
509,Waw,SS,69.85,moderate rain,7.7029,27.9953,Universal Gab Hotel
510,Roald,NO,61.0,overcast clouds,62.5833,6.1333,Flem Cabins
511,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
512,Angouleme,FR,63.55,overcast clouds,45.65,0.15,Mercure Angoulême - Hôtel de France
513,Zemio,CF,67.19,broken clouds,5.0314,25.1361,OCHA Office
514,Northam,GB,61.02,light rain,51.0333,-4.2167,Durrant House Hotel
515,Shuangyang,CN,78.76,light rain,43.5242,125.6736,Boutique Chatelet
516,Malchevskaya,RU,68.74,broken clouds,49.0552,40.3625,
517,Hohhot,CN,77.29,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
518,Waspan,NI,74.91,few clouds,14.7419,-83.9717,Hostal casa de la rose
519,Bhavnagar,IN,81.34,overcast clouds,21.7667,72.15,Hotel Relax Inn
520,Rongcheng,CN,87.55,clear sky,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
521,Tibati,CM,66.61,overcast clouds,6.4667,12.6333,Tibati Hotel
522,Bhattiprolu,IN,82.56,overcast clouds,16.1,80.7833,Kondalu Hotel
524,Kutum,SD,79.14,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
525,Berdigestyakh,RU,71.35,clear sky,62.0989,126.6992,
526,Pooler,US,85.23,few clouds,32.1155,-81.2471,Embassy Suites by Hilton Savannah Airport
527,Trincomalee,LK,82.06,broken clouds,8.5711,81.2335,Welcombe Hotel
528,Izoplit,RU,61.97,light rain,56.6256,36.222,
529,Mukhen,RU,79.7,overcast clouds,48.1,136.1,
530,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
531,Dryden,CA,66.49,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
532,Challans,FR,66.11,broken clouds,46.8436,-1.8749,Citotel Le Challans
534,Paka,MY,82.33,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
535,Cap-Aux-Meules,CA,64.45,few clouds,47.3821,-61.8597,Auberge Madeli
536,Vanavara,RU,76.12,clear sky,60.34,102.2797,
537,Dauphin,CA,78.94,clear sky,51.1494,-100.0502,Canway Inn & Suites
538,Manta,EC,74.98,broken clouds,-0.95,-80.7333,Balandra Hotel
539,Batagay-Alyta,RU,65.37,clear sky,67.8006,130.4114,
542,Manaus,BR,82.89,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
543,Chunskiy,RU,61.95,overcast clouds,56.0815,99.6342,Odisseya
544,Shelburne,CA,66.6,clear sky,44.0787,-80.2041,The Retreat at the Farm
545,Bandarban,BD,80.58,overcast clouds,22.1965,92.2262,Hotel Plaza
546,Oktyabrskiy,RU,65.12,overcast clouds,54.4815,53.471,Уязы-Тау гостиница
547,Okhotsk,RU,62.65,scattered clouds,59.3833,143.3,
548,Yarmouth,US,71.98,overcast clouds,41.7057,-70.2286,Blue Rock Resort
550,Milford,US,73.65,mist,41.2223,-73.0565,Homewood Suites by Hilton Stratford
551,Port-Cartier,CA,61.02,overcast clouds,50.0334,-66.8654,Le Q'Artier
552,Karakol,KG,60.75,overcast clouds,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
554,Bojonegoro,ID,84.74,broken clouds,-7.1502,111.8817,Dewarna Hotel & Convention
555,Awbari,LY,79.34,clear sky,26.5921,12.7805,فندق أوباري
558,Mecca,SA,86.45,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
